iter	Passed	Remaining
417	3080	4288
418	3089	4283
419	3097	4277
420	3106	4272
421	3114	4265
422	3123	4260
423	3131	4253
424	3140	4248
425	3147	4241
426	3158	4238
427	3166	4231
428	3175	4226
429	3182	4219
430	3192	4214
431	3200	4207
432	3209	4203
433	3217	4196
434	3226	4190
435	3235	4184
436	3243	4178
437	3251	4171
438	3258	4164
439	3266	4157
440	3274	4151
441	3282	4143
442	3291	4138
443	3298	4131
444	3306	4123
445	3314	4117
446	3322	4110
447	3330	4103
448	3338	4096
449	3346	4089
450	3355	4084
451	3363	4077
452	3372	4072
453	3380	4065
454	3388	4059
455	3396	4052
456	3405	4046
457	3413	4039
458	3421	4032
459	3428	4024
460	3436	4017
461	3443	4010
462	3451	4003
463	3459	3995
464	3467	3988
465	3474	3981
466	3483	3975
467	3490	3967
468	3498	3960
469	3506	3953
470	3515	3947
471	3523	3941
472	3532	3935
473	3540	3929
474	3550	3924
475	3558	3917
476	3568	3912
477	3576	3906
478	3585	3899
479	3593	3893
480	3603	3888
481	3613	3882
482	3621	3876
483	3630	3870
484	3639	3864
485	3649	3860
486	3658	3854
487	3668	3848
488	3676	3841
489	3686	3837
490	3695	3831
491	3703	3824
492	3713	3819
493	3721	3812
494	3732	3807
495	3740	3800
496	3748	3794
497	3757	3787
498	3766	3781
499	3775	3775
500	3783	3768
501	3793	3763
502	3802	3757
503	3812	3751
504	3821	3745
505	3830	3739
506	3838	3732
507	3849	3727
508	3857	3721
509	3867	3715
510	3877	3710
511	3885	3703
512	3895	3698
513	3903	3691
514	3912	3684
515	3921	3678
516	3931	3673
517	3941	3667
518	3950	3661
519	3960	3655
520	3968	3648
521	3978	3643
522	3986	3636
523	3995	3629
524	4003	3622
525	4013	3616
526	4023	3610
527	4032	3604
528	4042	3599
529	4050	3591
530	4059	3585
531	4067	3578
532	4077	3572
533	4085	3565
534	4094	3558
535	4102	3551
536	4111	3544
537	4119	3537
538	4127	3530
539	4136	3523
540	4146	3517
541	4156	3512
542	4164	3505
543	4173	3498
544	4181	3490
545	4191	3485
546	4200	3478
547	4210	3472
548	4219	3466
549	4228	3459
550	4237	3452
551	4246	3446
552	4256	3440
553	4264	3433
554	4274	3427
555	4282	3420
556	4292	3414
557	4301	3407
558	4310	3400
559	4320	3394
560	4328	3387
561	4337	3380
562	4345	3372
563	4356	3367
564	4364	3360
565	4372	3352
566	4381	3345
567	4391	3339
568	4400	3333
569	4409	3326
570	4418	3319
571	4427	3313
572	4437	3306
573	4446	3299
574	4457	3294
575	4467	3288
576	4475	3281
577	4485	3274
578	4494	3267
579	4504	3261
580	4513	3254
581	4523	3248
582	4533	3242
583	4542	3235
584	4552	3229
585	4560	3222
586	4570	3215
587	4579	3208
588	4588	3201
589	4597	3195
590	4606	3187
591	4615	3180
592	4624	3174
593	4638	3170
594	4647	3163
595	4655	3155
596	4665	3149
597	4672	3141
598	4682	3134
599	4689	3126
600	4699	3119
601	4707	3111
602	4716	3104
603	4724	3097
604	4734	3091
605	4744	3084
606	4753	3077
607	4764	3071
608	4772	3064
609	4784	3058
610	4794	3052
611	4803	3045
612	4813	3039
613	4822	3031
614	4831	3024
615	4842	3018
616	4851	3011
617	4862	3005
618	4870	2997
619	4879	2990
620	4887	2982
621	4896	2975
622	4904	2967
623	4913	2960
624	4921	2952
625	4930	2945
626	4938	2937
627	4948	2931
628	4956	2923
629	4965	2915
630	4973	2908
631	4982	2901
632	4992	2894
633	5000	2886
634	5009	2879
635	5017	2871
636	5027	2864
637	5034	2856
638	5044	2849
639	5052	2841
640	5060	2834
641	5068	2826
642	5078	2819
643	5086	2811
644	5095	2804
645	5103	2796
646	5113	2790
647	5123	2782
648	5131	2775
649	5141	2768
650	5149	2760
651	5158	2753
652	5166	2745
653	5175	2738
654	5183	2730
655	5193	2723
656	5201	2715
657	5211	2708
658	5221	2701
659	5229	2693
660	5238	2686
661	5245	2678
662	5255	2671
663	5263	2663
664	5272	2656
665	5280	2647
666	5288	2640
667	5295	2632
668	5303	2623
669	5311	2615
670	5318	2607
671	5327	2600
672	5335	2592
673	5343	2584
674	5351	2576
675	5358	2568
676	5366	2560
677	5375	2553
678	5383	2545
679	5391	2537
680	5399	2529
681	5406	2521
682	5414	2513
683	5422	2505
684	5431	2497
685	5439	2490
686	5447	2481
687	5457	2474
688	5464	2466
689	5472	2458
690	5480	2450
691	5488	2442
692	5495	2434
693	5505	2427
694	5512	2419
695	5521	2411
696	5528	2403
697	5539	2396
698	5547	2388
699	5556	2381
700	5564	2373
701	5574	2366
702	5585	2359
703	5593	2351
704	5603	2344
705	5612	2337
706	5623	2330
707	5633	2323
708	5641	2315
709	5651	2308
710	5659	2300
711	5670	2293
712	5680	2286
713	5689	2278
714	5700	2272
715	5708	2264
716	5718	2256
717	5726	2249
718	5737	2242
719	5746	2234
720	5755	2227
721	5765	2219
722	5773	2211
723	5783	2204
724	5790	2196
725	5799	2188
726	5807	2180
727	5817	2173
728	5825	2165
729	5835	2158
730	5843	2150
731	5853	2142
732	5884	2143
733	5892	2135
734	5903	2128
735	5912	2120
736	5921	2113
737	5932	2105
738	5940	2097
739	5949	2090
740	5956	2082
741	5966	2074
742	5974	2066
743	5983	2058
744	5991	2050
745	6000	2042
746	6007	2034
747	6017	2027
748	6025	2019
749	6035	2011
750	6045	2004
751	6053	1996
752	6063	1988
753	6071	1980
754	6080	1973
755	6087	1964
756	6097	1957
757	6105	1949
758	6114	1941
759	6122	1933
760	6131	1925
761	6138	1917
