iter	Passed	Remaining
409	4335	6239
410	4345	6228
411	4356	6217
412	4366	6205
413	4376	6194
414	4386	6183
415	4396	6172
416	4406	6160
417	4416	6149
418	4427	6138
419	4437	6127
420	4447	6115
421	4456	6104
422	4466	6093
423	4477	6082
424	4487	6071
425	4497	6059
426	4507	6048
427	4517	6037
428	4527	6026
429	4538	6016
430	4548	6005
431	4558	5993
432	4568	5982
433	4579	5971
434	4588	5960
435	4598	5948
436	4609	5937
437	4619	5927
438	4629	5915
439	4639	5904
440	4649	5893
441	4659	5882
442	4670	5871
443	4679	5860
444	4689	5849
445	4700	5838
446	4710	5827
447	4720	5816
448	4730	5805
449	4740	5793
450	4750	5783
451	4760	5772
452	4771	5761
453	4781	5750
454	4791	5738
455	4801	5727
456	4811	5716
457	4821	5705
458	4831	5694
459	4841	5683
460	4851	5672
461	4861	5661
462	4871	5650
463	4881	5639
464	4892	5628
465	4902	5617
466	4912	5606
467	4922	5595
468	4932	5584
469	4942	5572
470	4952	5562
471	4962	5550
472	4972	5539
473	4982	5528
474	4992	5517
475	5002	5506
476	5012	5495
477	5022	5484
478	5032	5473
479	5042	5462
480	5052	5451
481	5061	5439
482	5071	5429
483	5082	5418
484	5092	5407
485	5102	5396
486	5112	5385
487	5122	5374
488	5132	5363
489	5142	5352
490	5152	5341
491	5163	5330
492	5173	5320
493	5183	5308
494	5192	5297
495	5203	5287
496	5213	5276
497	5223	5265
498	5233	5254
499	5243	5243
500	5253	5232
501	5263	5221
502	5273	5210
503	5283	5199
504	5293	5188
505	5303	5177
506	5313	5167
507	5323	5156
508	5334	5145
509	5344	5134
510	5354	5124
511	5364	5113
512	5374	5102
513	5385	5091
514	5395	5081
515	5405	5070
516	5416	5059
517	5426	5048
518	5436	5038
519	5446	5027
520	5456	5016
521	5466	5005
522	5476	4994
523	5486	4984
524	5496	4973
525	5507	4962
526	5517	4951
527	5527	4940
528	5537	4930
529	5547	4919
530	5557	4908
531	5567	4897
532	5577	4886
533	5587	4875
534	5597	4864
535	5607	4853
536	5617	4843
537	5627	4832
538	5637	4821
539	5649	4812
540	5659	4801
541	5669	4790
542	5679	4779
543	5689	4769
544	5699	4758
545	5709	4747
546	5719	4736
547	5729	4726
548	5739	4715
549	5749	4704
550	5759	4693
551	5770	4683
552	5780	4672
553	5791	4662
554	5801	4651
555	5812	4641
556	5823	4631
557	5833	4620
558	5844	4610
559	5854	4600
560	5864	4589
561	5874	4578
562	5885	4567
563	5895	4557
564	5905	4546
565	5915	4535
566	5925	4524
567	5935	4514
568	5945	4503
569	5955	4492
570	5965	4481
571	5975	4471
572	5985	4460
573	5995	4449
574	6006	4439
575	6016	4428
576	6026	4417
577	6036	4407
578	6046	4396
579	6056	4385
580	6067	4375
581	6077	4364
582	6087	4354
583	6097	4343
584	6107	4332
585	6117	4321
586	6127	4311
587	6137	4300
588	6147	4289
589	6158	4279
590	6168	4268
591	6178	4257
592	6188	4247
593	6198	4236
594	6208	4225
595	6218	4215
596	6228	4204
597	6238	4193
598	6248	4183
599	6258	4172
600	6268	4161
601	6278	4151
602	6288	4140
603	6299	4129
604	6309	4119
605	6319	4108
606	6329	4097
607	6339	4087
608	6349	4076
609	6359	4065
610	6369	4055
611	6379	4044
612	6389	4033
613	6399	4023
614	6409	4012
615	6419	4001
616	6429	3990
617	6439	3980
618	6449	3969
619	6459	3959
620	6469	3948
621	6479	3937
622	6489	3927
623	6499	3916
624	6509	3905
625	6519	3895
626	6529	3884
627	6539	3873
628	6550	3863
629	6560	3852
630	6570	3842
631	6580	3831
632	6590	3820
633	6600	3810
634	6610	3799
635	6620	3789
636	6630	3778
637	6640	3767
638	6650	3757
639	6660	3746
640	6671	3736
641	6681	3725
642	6691	3714
643	6701	3704
644	6711	3693
645	6720	3683
646	6731	3672
647	6740	3661
648	6751	3651
649	6761	3640
650	6771	3630
651	6781	3619
652	6791	3608
653	6801	3598
654	6811	3587
655	6821	3577
656	6831	3566
657	6841	3556
658	6851	3545
659	6861	3534
660	6871	3524
661	6882	3513
662	6892	3503
663	6902	3492
664	6912	3482
665	6922	3471
666	6932	3460
667	6942	3450
668	6952	3439
669	6962	3429
670	6972	3418
671	6983	3408
672	6993	3397
673	7003	3387
674	7013	3376
675	7023	3366
676	7033	3355
677	7044	3345
678	7054	3334
679	7064	3324
680	7074	3313
681	7084	3303
682	7094	3292
683	7105	3282
684	7115	3271
685	7125	3261
686	7135	3250
687	7145	3240
688	7156	3230
689	7166	3219
690	7176	3209
691	7186	3198
692	7196	3187
693	7206	3177
694	7216	3166
695	7226	3156
696	7236	3145
697	7246	3135
698	7256	3124
699	7266	3114
700	7276	3103
701	7286	3093
702	7296	3082
703	7306	3072
704	7317	3061
705	7327	3051
706	7337	3040
707	7347	3030
708	7357	3019
709	7367	3009
710	7377	2998
711	7387	2988
712	7397	2977
713	7407	2967
714	7417	2956
715	7427	2946
716	7437	2935
717	7447	2925
718	7457	2914
719	7467	2904
720	7477	2893
721	7487	2883
722	7497	2872
723	7508	2862
724	7517	2851
725	7527	2841
726	7538	2830
727	7548	2820
728	7558	2809
729	7568	2799
730	7578	2788
731	7588	2778
732	7598	2767
733	7608	2757
734	7618	2746
735	7628	2736
736	7638	2725
737	7648	2715
738	7658	2704
739	7668	2694
740	7678	2683
741	7688	2673
742	7698	2663
743	7708	2652
744	7719	2642
745	7729	2631
746	7739	2621
747	7749	2610
748	7759	2600
749	7769	2589
750	7779	2579
751	7789	2568
752	7799	2558
753	7809	2548
754	7819	2537
755	7830	2527
756	7839	2516
757	7849	2506
758	7859	2495
759	7869	2485
760	7880	2474
761	7889	2464
762	7899	2453
763	7909	2443
764	7919	2432
765	7930	2422
766	7940	2412
767	7950	2401
768	7960	2391
769	7969	2380
770	7980	2370
771	7990	2359
772	8000	2349
773	8010	2338
774	8020	2328
775	8030	2318
776	8040	2307
777	8050	2297
778	8060	2286
779	8070	2276
780	8080	2265
781	8090	2255
782	8100	2244
783	8110	2234
784	8120	2224
785	8130	2213
786	8140	2203
787	8150	2192
788	8160	2182
789	8170	2171
790	8180	2161
791	8190	2151
792	8200	2140
793	8210	2130
794	8220	2119
795	8230	2109
796	8240	2098
797	8250	2088
798	8260	2078
799	8270	2067
800	8280	2057
801	8290	2046
802	8300	2036
803	8310	2026
804	8321	2015
805	8330	2005
806	8341	1994
807	8351	1984
808	8361	1974
809	8371	1963
810	8381	1953
811	8391	1942
812	8401	1932
813	8411	1922
814	8421	1911
815	8431	1901
816	8441	1890
817	8451	1880
818	8461	1869
819	8471	1859
820	8481	1849
821	8491	1838
822	8501	1828
823	8512	1818
824	8522	1807
825	8532	1797
826	8542	1786
827	8552	1776
828	8562	1766
829	8572	1755
830	8582	1745
831	8592	1735
832	8602	1724
833	8612	1714
834	8622	1703
835	8632	1693
836	8642	1683
837	8652	1672
838	8662	1662
839	8672	1651
840	8683	1641
841	8693	1631
842	8703	1620
843	8713	1610
844	8723	1600
845	8733	1589
846	8743	1579
847	8753	1568
848	8763	1558
849	8773	1548
850	8783	1537
851	8793	1527
852	8803	1517
853	8813	1506
854	8824	1496
855	8834	1486
856	8845	1475
857	8856	1465
858	8867	1455
859	8877	1445
860	8888	1434
861	8899	1424
862	8909	1414
863	8919	1403
864	8929	1393
865	8939	1383
866	8949	1372
867	8959	1362
868	8969	1352
869	8979	1341
870	8989	1331
871	8999	1320
872	9009	1310
873	9019	1300
874	9029	1289
875	9039	1279
876	9049	1269
877	9059	1258
878	9069	1248
879	9079	1238
880	9089	1227
881	9099	1217
882	9109	1207
883	9119	1196
884	9129	1186
885	9139	1175
886	9149	1165
887	9159	1155
888	9169	1144
889	9179	1134
890	9189	1124
891	9199	1113
892	9209	1103
893	9219	1093
894	9229	1082
895	9239	1072
896	9249	1062
897	9259	1051
898	9269	1041
899	9279	1031
900	9289	1020
901	9299	1010
902	9309	1000
903	9319	989
904	9330	979
905	9340	969
906	9350	958
907	9360	948
908	9370	938
909	9381	927
910	9391	917
911	9401	907
912	9411	896
913	9421	886
914	9431	876
915	9441	865
916	9451	855
917	9461	845
918	9471	834
919	9481	824
920	9491	814
921	9501	803
922	9512	793
923	9522	783
924	9532	772
925	9542	762
926	9552	752
927	9562	741
928	9572	731
929	9582	721
930	9592	710
931	9603	700
932	9613	690
933	9623	680
934	9633	669
935	9643	659
936	9653	649
937	9663	638
938	9672	628
939	9683	618
940	9692	607
941	9702	597
942	9712	587
943	9722	576
944	9733	566
945	9743	556
946	9753	545
947	9763	535
948	9773	525
949	9783	514
950	9793	504
951	9803	494
952	9813	483
953	9823	473
954	9833	463
955	9843	453
956	9853	442
957	9863	432
958	9873	422
959	9884	411
960	9894	401
961	9904	391
962	9913	380
963	9923	370
964	9934	360
965	9944	350
966	9954	339
967	9964	329
968	9974	319
969	9984	308
970	9994	298
971	10005	288
972	10015	277
973	10025	267
974	10035	257
975	10045	247
976	10055	236
977	10066	226
978	10076	216
979	10086	205
980	10096	195
981	10105	185
982	10115	174
983	10125	164
984	10135	154
985	10146	144
986	10156	133
987	10166	123
988	10176	113
989	10186	102
990	10196	92
991	10206	82
992	10216	72
993	10226	61
994	10236	51
995	10246	41
996	10256	30
997	10266	20
998	10276	10
999	10286	0
